trait,network_data,network_sampling,rates,likelihood,aic,bf,rate1,rate2
pollinator,primary,with_outgroups,unconstrained,-6.839601561138073,17.679203122276146,4.62653448345984,0.8461972602697392,0
pollinator,primary,with_outgroups,equal,-7.108129289669625,16.21625857933925,3.0077799559628824,0.48039016723632827,
pollinator,primary,only_ingroup,unconstrained,-6.622966911038653,17.245933822077305,1.311885536733615,0,0.4161013726053738
pollinator,primary,only_ingroup,equal,-6.887852444080627,15.775704888161254,2.428699361757745,0.34390220642089847,
pollinator,haplotype,with_outgroups,unconstrained,-7.357877873507197,18.71575574701439,0.4872611385010699,0.8037555046499083,0.6994958241386972
pollinator,haplotype,with_outgroups,equal,-7.364475698948319,16.728951397896637,0.468248084321128,0.7564994812011715,
pollinator,haplotype,only_ingroup,unconstrained,-6.622446966554178,17.244893933108358,1.3513480807740907,0,0.5595233441183619
pollinator,haplotype,only_ingroup,equal,-6.758420224125173,15.516840448250345,2.6364241479560104,0.49816398620605484,
flower_color,primary,with_outgroups,unconstrained,-7.351643892045787,18.70328778409157,15.451702034160812,0.2250504950042731,0
flower_color,primary,with_outgroups,equal,-7.524465325043066,17.048930650086135,8.001538374191426,0.2578483581542968,
flower_color,primary,only_ingroup,unconstrained,-6.1020516004905065,16.204103200981013,9.865619319404729,0.2911427020378049,0
flower_color,primary,only_ingroup,equal,-6.497747772333215,14.99549554466643,7.351649679664247,0.2191478729248047,
flower_color,haplotype,with_outgroups,unconstrained,-6.203072347683599,16.406144695367196,0.07258258610224956,0.17652159954249702,0.7584237720811262
flower_color,haplotype,with_outgroups,equal,-6.639870250662362,15.279740501324724,0.29044976673246325,0.41915283203125003,
flower_color,haplotype,only_ingroup,unconstrained,-6.271190161401148,16.542380322802295,2.786464025087795,0.21776476512020704,0.7993615688395446
flower_color,haplotype,only_ingroup,equal,-6.475405332333444,14.950810664666887,4.665156248910101,0.3611507415771485,
